id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane,TravelTime,TravelCost
156,car,1,74,55.34673249,0.7,1546293681,24,2,1546294088,1,,,0,0,407,6.25725559
161,car,1,79,52.93055639,0.6,1546293681,2,24,1546294091,1,,,0,0,410,6.028202256
184,car,0,79,61.69039874,0.5,1546293681,24,5,1546294203,0,,,0,0,522,8.945107817
188,car,0,80,32.80734677,0,1546293681,5,24,1546294160,0,,,0,0,479,4.365199751
206,car,0,79,63.36081838,0.3,1546293681,21,1,1546294079,1,,,0,0,398,7.004890476
210,car,0,72,44.41234044,0.3,1546293681,1,21,1546294354,0,,,0,0,673,8.30264031
214,car,1,71,55.53498975,0.9,1546293681,21,2,1546294052,1,,,0,0,371,5.723189222
218,car,0,78,68.52939915,0.3,1546293681,2,21,1546294226,0,,,0,0,545,10.37458959
3,car,1,77,23.42335871,0.8,1546293681,12,1,1546293875,0,,,0,0,194,1.262258775
61,car,0,70,42.54528522,0.2,1546293681,12,18,1546294051,0,,,0,0,370,4.37270987
69,car,1,73,42.98803552,1,1546293681,18,12,1546294049,0,,,0,0,368,4.39433252
100,car,1,71,63.16354946,0.7,1546293691,2,13,1546294175,1,,,0,0,484,8.491988317
304,car,0,78,47.27315883,0.4,1546293691,20,5,1546294178,0,,,0,0,487,6.395007875
313,car,1,73,56.34686604,0.9,1546293691,5,20,1546294134,0,,,0,0,443,6.933794905
322,car,1,70,42.33033108,0.9,1546293691,20,18,1546293957,0,,,0,0,266,3.12774113
331,car,0,80,50.15906549,0.3,1546293691,18,20,1546293957,0,,,0,0,266,3.706197616
42,car,1,77,45.04477635,0.6,1546293691,12,5,1546293983,0,,,0,0,292,3.65363186
52,car,1,72,46.04285376,0.9,1546293691,5,12,1546293981,0,,,0,0,290,3.709007664
90,car,0,74,52.75239516,0.4,1546293691,13,2,1546294212,1,,,0,0,521,7.634443855
145,car,0,70,47.52782881,0,1546293697,24,1,1546294287,0,,,0,0,590,7.789283055
151,car,0,78,47.25734478,0,1546293697,1,24,1546294269,0,,,0,0,572,7.508667003
193,car,0,73,36.79157577,0.3,1546293697,24,18,1546294288,0,,,0,0,591,6.039950356
200,car,0,76,60.34627966,0.1,1546293697,18,24,1546294063,1,,,0,0,366,6.135205098
239,car,1,76,53.08291245,1,1546293697,21,5,1546294088,0,,,0,0,391,5.765394102
245,car,1,75,58.88242129,0.7,1546293697,5,21,1546294091,0,,,0,0,394,6.444353886
168,car,1,70,61.14330736,1,1546293703,24,4,1546294131,0,,,0,0,428,7.269259875
177,car,0,74,53.39771175,0.3,1546293703,4,24,1546293970,1,,,0,0,267,3.960330288
224,car,1,73,60.30247596,1,1546293703,21,4,1546294202,0,,,0,0,499,8.358593196
232,car,1,77,65.15987188,0.8,1546293703,4,21,1546294031,1,,,0,0,328,5.936788327
286,car,1,75,35.42520279,0.6,1546293703,20,4,1546294283,0,,,0,0,580,5.707393783
295,car,0,73,46.38409305,0,1546293703,4,20,1546294213,0,,,0,0,510,6.571079849
101,car,1,70,38.1537164,0.6,1546293721,2,13,1546294505,0,,,0,0,784,8.309031572
106,bus,1,45,43.07242902,0.9,1546293721,2,13,1546294499,0,,,0,0,778,9.308430494
11,car,1,74,42.77031251,0.7,1546293721,1,12,1546293936,0,,,0,0,215,2.554338109
118,car,1,79,53.34704475,0.6,1546293721,13,5,1546294130,1,,,0,0,409,6.060817028
125,car,0,76,54.46849492,0.1,1546293721,5,13,1546294275,0,,,0,0,554,8.382096163
132,car,1,78,37.63905523,0.6,1546293721,13,18,1546294354,0,,,0,0,633,6.618200544
139,car,0,72,59.32656881,0.2,1546293721,18,13,1546294138,1,,,0,0,417,6.871994221
159,bus,1,56,49.79308363,0.7,1546293721,24,2,1546294387,0,,,0,0,666,9.211720472
164,bus,0,41,63.4208736,0.4,1546293721,2,24,1546294156,1,,,0,0,435,7.66335556
17,car,1,75,52.35191423,0.9,1546293721,12,2,1546294004,1,,,0,0,283,4.115442147
173,bus,1,45,44.8939465,1,1546293721,24,4,1546294147,0,,,0,0,426,5.312450336
182,bus,1,41,52.67479072,1,1546293721,4,24,1546293990,1,,,0,0,269,3.935977418
197,bus,1,52,34.86505293,0.6,1546293721,24,18,1546294288,0,,,0,0,567,5.491245837
20,bus,0,45,45.43992757,0.3,1546293721,12,2,1546294164,0,,,0,0,443,5.591635531
204,bus,0,50,39.6939589,0.2,1546293721,18,24,1546294282,0,,,0,0,561,6.185641928
23,car,0,80,51.22741277,0.4,1546293721,2,12,1546294031,1,,,0,0,310,4.411249433
251,car,1,70,48.93837634,0.9,1546293721,21,18,1546294220,0,,,0,0,499,6.78340272
254,bus,1,54,42.46657929,1,1546293721,21,18,1546294168,0,,,0,0,447,5.272933596
257,car,1,73,43.07779433,0.9,1546293721,18,21,1546294200,0,,,0,0,479,5.731739857
26,bus,0,44,38.98932212,0,1546293721,2,12,1546294148,0,,,0,0,427,4.624566818
260,bus,1,42,47.43004542,1,1546293721,18,21,1546294191,0,,,0,0,470,6.19225593
263,car,0,77,39.62838914,0.3,1546293721,20,1,1546294431,0,,,0,0,710,7.81559897
266,bus,0,59,55.70047134,0.1,1546293721,20,1,1546294217,1,,,0,0,496,7.674287163
269,car,1,74,49.38520176,0.8,1546293721,1,20,1546294458,0,,,0,0,737,10.11024825
272,bus,0,42,44.26177085,0.3,1546293721,1,20,1546294439,0,,,0,0,718,8.827764297
275,car,0,79,23.31851496,0.3,1546293721,20,2,1546294180,0,,,0,0,459,2.973110658
280,car,0,78,68.7964724,0.5,1546293721,2,20,1546294031,1,,,0,0,310,5.924140679
29,car,0,77,58.56177963,0.5,1546293721,12,4,1546293926,0,,,0,0,205,3.334768007
291,bus,1,45,61.69472221,0.6,1546293721,20,4,1546294107,1,,,0,0,386,6.615045215
300,bus,0,48,50.8439621,0.1,1546293721,4,20,1546294073,1,,,0,0,352,4.971409628
305,car,1,79,60.48797531,1,1546293721,20,5,1546294073,1,,,0,0,352,5.914379808
314,car,1,75,52.57161503,0.6,1546293721,5,20,1546294156,0,,,0,0,435,6.352403483
32,bus,1,48,42.03755059,0.8,1546293721,12,4,1546293926,0,,,0,0,205,2.393804964
323,car,1,73,57.84177667,0.6,1546293721,20,18,1546293988,0,,,0,0,267,4.28993177
332,car,1,76,46.86587587,1,1546293721,18,20,1546293987,0,,,0,0,266,3.462867495
35,car,0,76,57.47420665,0,1546293721,4,12,1546293934,0,,,0,0,213,3.400557227
38,bus,1,48,52.28978885,0.9,1546293721,4,12,1546293934,0,,,0,0,213,3.093812507
4,car,0,80,71.79226202,0,1546293721,12,1,1546293915,0,,,0,0,194,3.868805231
43,car,1,72,41.28210053,0.9,1546293721,12,5,1546294011,0,,,0,0,290,3.325502543
48,bus,0,53,45.35667681,0,1546293721,12,5,1546294007,0,,,0,0,286,3.603335991
53,car,1,78,56.14251902,0.8,1546293721,5,12,1546293903,1,,,0,0,182,2.838316239
58,bus,1,58,46.66946229,0.6,1546293721,5,12,1546294005,0,,,0,0,284,3.681702025
62,car,1,72,46.99457705,0.7,1546293721,12,18,1546294120,0,,,0,0,399,5.208565623
66,bus,0,46,50.13658031,0.5,1546293721,12,18,1546294120,0,,,0,0,399,5.556804318
70,car,0,75,47.95399808,0.5,1546293721,18,12,1546294089,0,,,0,0,368,4.901964249
74,bus,0,53,49.72670097,0,1546293721,18,12,1546294091,0,,,0,0,370,5.110799822
77,car,1,80,45.24754593,0.9,1546293721,13,1,1546294194,0,,,0,0,473,5.945024785
80,bus,1,60,30.46922093,0.8,1546293721,13,1,1546294154,0,,,0,0,433,3.664770184
83,car,1,78,63.67236976,0.9,1546293721,1,13,1546294208,0,,,0,0,487,8.613456687
86,bus,1,58,33.09653523,0.8,1546293721,1,13,1546294208,0,,,0,0,487,4.477225738
91,car,0,70,60.41789908,0.4,1546293721,13,2,1546294239,1,,,0,0,518,8.693464367
96,bus,1,58,43.7720512,0.6,1546293721,13,2,1546294368,0,,,0,0,647,7.866810313
169,car,0,80,38.03218354,0.3,1546293737,24,4,1546294155,0,,,0,0,418,4.415959088
178,car,1,78,61.01640675,1,1546293737,4,24,1546293996,1,,,0,0,259,4.389791486
225,car,0,72,48.72405528,0.4,1546293737,21,4,1546294240,0,,,0,0,503,6.807833279
233,car,1,70,46.11576585,0.8,1546293737,4,21,1546294203,0,,,0,0,466,5.969429691
287,car,1,74,39.76374518,0.8,1546293737,20,4,1546294313,0,,,0,0,576,6.362199229
296,car,0,70,56.65257677,0.4,1546293737,4,20,1546294077,1,,,0,0,340,5.350521139
146,car,0,71,54.41238424,0,1546293745,24,1,1546294315,0,,,0,0,570,8.615294172
152,car,1,76,54.16347446,0.9,1546293745,1,24,1546294301,0,,,0,0,556,8.365247722
194,car,1,73,44.82758946,0.9,1546293745,24,18,1546294309,0,,,0,0,564,7.022989015
201,car,1,75,49.7900937,1,1546293745,18,24,1546294287,0,,,0,0,542,7.496175219
240,car,1,74,51.15450398,0.6,1546293745,21,5,1546294138,0,,,0,0,393,5.584366684
246,car,1,70,55.96073766,0.6,1546293745,5,21,1546294130,0,,,0,0,385,5.98469
102,car,1,76,60.73384791,1,1546293751,2,13,1546294239,1,,,0,0,488,8.232810495
306,car,1,80,67.60964721,0.6,1546293751,20,5,1546294095,1,,,0,0,344,6.4604774
315,car,0,75,37.82992761,0,1546293751,5,20,1546294182,0,,,0,0,431,4.529083
324,car,1,79,61.52297558,1,1546293751,20,18,1546294018,0,,,0,0,267,4.562954022
333,car,0,79,51.76622073,0,1546293751,18,20,1546294017,0,,,0,0,266,3.824948531
44,car,0,76,38.89164227,0.3,1546293751,12,5,1546294039,0,,,0,0,288,3.111331381
54,car,1,74,50.45809007,0.9,1546293751,5,12,1546293930,1,,,0,0,179,2.508888367
92,car,1,71,48.98150446,0.7,1546293751,13,2,1546294479,0,,,0,0,728,9.90514868
109,car,0,80,50.18301672,0,1546293761,13,4,1546294095,1,,,0,0,334,4.655868774
113,car,0,70,38.24727877,0.2,1546293761,4,13,1546294216,0,,,0,0,455,4.834031067
119,car,0,75,30.18418834,0.3,1546293761,13,5,1546294313,0,,,0,0,552,4.628242213
12,car,0,77,55.20497958,0.3,1546293761,1,12,1546293962,0,,,0,0,201,3.082278027
126,car,1,71,36.85346402,0.8,1546293761,5,13,1546294323,0,,,0,0,562,5.753235216
133,car,1,79,56.39712603,1,1546293761,13,18,1546294259,1,,,0,0,498,7.801602435
140,car,1,75,52.22665309,0.7,1546293761,18,13,1546294180,1,,,0,0,419,6.078602124
157,car,1,71,37.84024128,0.6,1546293761,24,2,1546294444,0,,,0,0,683,7.179134666
162,car,1,79,55.143803,1,1546293761,2,24,1546294170,1,,,0,0,409,6.26494873
185,car,0,70,54.77044654,0,1546293761,24,5,1546294247,0,,,0,0,486,7.394010284
189,car,1,71,47.22110009,0.9,1546293761,5,24,1546294227,0,,,0,0,466,6.112509067
207,car,1,74,58.13211723,0.7,1546293761,21,1,1546294151,1,,,0,0,390,6.297646033
211,car,0,78,64.10509534,0,1546293761,1,21,1546294205,1,,,0,0,444,7.906295092
215,car,1,73,43.04654562,0.6,1546293761,21,2,1546294363,0,,,0,0,602,7.198339017
219,car,0,72,52.12218966,0.3,1546293761,2,21,1546294307,0,,,0,0,546,7.905198766
5,car,1,78,45.03784573,0.8,1546293761,12,1,1546293955,0,,,0,0,194,2.427039464
63,car,1,75,69.11104475,0.7,1546293761,12,18,1546294155,0,,,0,0,394,7.563819898
71,car,0,80,45.50512348,0.1,1546293761,18,12,1546294121,0,,,0,0,360,4.550512348
170,car,1,74,50.98738505,0.9,1546293771,24,4,1546294175,0,,,0,0,404,5.721917656
179,car,1,78,49.64952752,0.7,1546293771,4,24,1546294159,0,,,0,0,388,5.351115744
226,car,0,79,64.04843648,0,1546293771,21,4,1546294280,0,,,0,0,509,9.055737269
